datetime,signal
2021-07-02_22:45:00,0
2021-07-02_22:46:00,1
2021-07-02_22:47:00,1
2021-07-02_22:48:00,2
2021-07-02_22:49:00,1
2021-07-02_22:50:00,1
2021-07-02_22:51:00,1
2021-07-02_22:52:00,1
2021-07-02_22:53:00,1
2021-07-02_22:54:00,1
2021-07-02_22:55:00,2
2021-07-02_22:56:00,0
2021-07-02_22:57:00,2
2021-07-02_22:58:00,1
2021-07-02_22:59:00,0
