,basis_ic_mean,basis_if_mean,basis_ic_pct_annual,basis_if_pct_annual,index_return_ic,index_return_if,icf_index_return_diff_win,icf_basis_annual_diff,icf_corr_win
basis_ic_mean,1.0,0.9249030856396889,0.987055721868723,0.9255916998596061,-0.0016332969418600568,0.003148147765404546,-0.12213729597177748,0.7897808708969688,0.0546251492415973
basis_if_mean,0.9249030856396889,1.0,0.906666733431326,0.9746529189727929,0.006414803632325191,0.0020276538398607364,0.04273517881250074,0.5353014442475941,-0.045681564551025025
basis_ic_pct_annual,0.987055721868723,0.906666733431326,1.0,0.9262944772168564,0.01070824884005148,0.013180898587013622,-0.1629642143502267,0.8176120259085506,0.0137357521233385
basis_if_pct_annual,0.9255916998596061,0.9746529189727929,0.9262944772168564,1.0,0.01605384809304595,0.01403921541843074,0.03669365301043346,0.5403993072036224,-0.1664552546597349
index_return_ic,-0.0016332969418600568,0.006414803632325191,0.01070824884005148,0.01605384809304595,1.0,0.8446906027945008,0.06778151313598374,-0.0006191692897003754,-0.00575146590569135
index_return_if,0.003148147765404546,0.0020276538398607364,0.013180898587013622,0.01403921541843074,0.8446906027945008,1.0,0.010224732638911873,0.007980803376815842,0.008508596113327554
icf_index_return_diff_win,-0.12213729597177748,0.04273517881250074,-0.1629642143502267,0.03669365301043346,0.06778151313598374,0.010224732638911873,1.0,-0.41997459314436525,-0.4661306912548688
icf_basis_annual_diff,0.7897808708969688,0.5353014442475941,0.8176120259085506,0.5403993072036224,-0.0006191692897003754,0.007980803376815842,-0.41997459314436525,1.0,0.2850242418908054
icf_corr_win,0.0546251492415973,-0.045681564551025025,0.0137357521233385,-0.1664552546597349,-0.00575146590569135,0.008508596113327554,-0.4661306912548688,0.2850242418908054,1.0
