,basis_ic_mean,basis_if_mean,basis_ic_pct_annual,basis_if_pct_annual,index_return_ic,index_return_if,icf_index_return_diff_win,icf_basis_annual_diff,icf_corr_win
basis_ic_mean,1.0,0.9364613969297237,0.9839548946753315,0.9301171611583426,0.049444261329180825,0.05596765402079829,-0.05554813165456707,0.7190841769199013,-0.11126988572520023
basis_if_mean,0.9364613969297237,1.0,0.9293638382653674,0.9907271037071128,0.008715109276520382,0.020184235736497518,0.04864527088982967,0.4613512392680573,-0.1125775276846285
basis_ic_pct_annual,0.9839548946753315,0.9293638382653674,1.0,0.9387791015048061,0.061583834923965214,0.05954114596103892,-0.09261783222572713,0.7434385155571585,-0.11117338180078391
basis_if_pct_annual,0.9301171611583426,0.9907271037071128,0.9387791015048061,1.0,0.023608430550453346,0.031705131961862136,0.038402124483093866,0.4675083139020337,-0.10937758618973999
index_return_ic,0.049444261329180825,0.008715109276520382,0.061583834923965214,0.023608430550453346,1.0,0.8657182904679491,0.03237515345391047,0.11218515846050946,0.012128440373371204
index_return_if,0.05596765402079829,0.020184235736497518,0.05954114596103892,0.031705131961862136,0.8657182904679491,1.0,-0.0015230744249777755,0.09122605718868461,0.023763714554572872
icf_index_return_diff_win,-0.05554813165456707,0.04864527088982967,-0.09261783222572713,0.038402124483093866,0.03237515345391047,-0.0015230744249777755,1.0,-0.31219297930913076,0.04213446931507846
icf_basis_annual_diff,0.7190841769199013,0.4613512392680573,0.7434385155571585,0.4675083139020337,0.11218515846050946,0.09122605718868461,-0.31219297930913076,1.0,-0.07292417407688818
icf_corr_win,-0.11126988572520023,-0.1125775276846285,-0.11117338180078391,-0.10937758618973999,0.012128440373371204,0.023763714554572872,0.04213446931507846,-0.07292417407688818,1.0
