tradeDate,basis_ic_mean,basis_if_mean,basis_ic_pct_annual,basis_if_pct_annual,index_return_ic,index_return_if,index_return_ic_win,index_return_if_win,icf_index_return_diff_win,icf_basis_annual_diff,icf_corr_win
2018-09-03,-34.71893583333333,-19.25451416666667,-0.08610005470282027,-0.06955639863968746,0.004982412540645918,-0.0038095522251032424,-0.06425581623952387,-0.02230519741034427,-0.041950618829179595,-0.01654365606313281,0.9652378686457463
2018-09-04,-34.881726666666665,-19.176556666666666,-0.08559441762912337,-0.06840833242763812,0.010567841878749125,0.012586269027628546,-0.06458989254536915,-0.016424989728928807,-0.04816490281644034,-0.01718608520148525,0.9648644751851447
2018-09-05,-35.02937083333334,-19.2765275,-0.08729999078095872,-0.07013596931507966,-0.015506515456674204,-0.019741502466815615,-0.08257200101859276,-0.033829087066921344,-0.048742913951671414,-0.01716402146587906,0.9644471997526766
2018-09-06,-35.174659166666665,-19.269178333333336,-0.08805873033894031,-0.07086686709486906,-0.004514587790007086,-0.01074855090344283,-0.0876217070678246,-0.03595187796888324,-0.05166982909894136,-0.01719186324407125,0.9639988416556613
2018-09-07,-34.88359333333334,-19.062688333333334,-0.08735862319495234,-0.0697916777900027,-0.0003270693479704222,0.004514324453855149,-0.08313638685931295,-0.025237397771839986,-0.05789898908747296,-0.017566945404949644,0.9635418320279305
2018-09-10,-34.4439625,-18.879523333333335,-0.08785085020904472,-0.07013916517735339,-0.01830162631052847,-0.014621589994254605,-0.09458721903574534,-0.04138624919677981,-0.05320096983896553,-0.017711685031691335,0.9630731784212618
2018-09-11,-33.92733583333333,-18.688752500000003,-0.08656951093528781,-0.06955654833572339,-0.00041986520414138864,-0.0018147653586513468,-0.0680026242875085,-0.021989485843054896,-0.04601313844445361,-0.01701296259956442,0.9628286870899925
2018-09-12,-33.34208666666667,-18.435207499999997,-0.08523801248762697,-0.0690883124952686,-0.0019003978049592172,-0.006905095541184463,-0.06809390417119983,-0.01676470916321665,-0.05132919500798318,-0.016149699992358366,0.9628136347552151
2018-09-13,-32.836957500000004,-18.112017499999997,-0.083462357050216,-0.06715271573929182,0.005785945137947723,0.010729593284784572,-0.05491441751243135,0.005502467339116362,-0.06041688485154771,-0.016309641310924175,0.9628260543120211
2018-09-14,-31.9546875,-17.38664,-0.08210914121619205,-0.06435344704474909,-0.010889386735074029,0.001705292269754922,-0.08485906905499076,-0.02207213469268239,-0.06278693436230837,-0.01775569417144296,0.9635628538827795
2018-09-17,-31.476615,-17.151885,-0.08207026605589127,-0.06422078113342151,-0.014600425229146065,-0.01153036734731709,-0.0754593427136059,-0.02526761845117324,-0.05019172426243265,-0.017849484922469752,0.9639558087536602
2018-09-18,-31.26770333333333,-16.991576666666667,-0.0801135884197512,-0.06236524455517792,0.01747113384031182,0.01992836101832585,-0.06627204317370768,-0.02415771541779753,-0.04211432775591015,-0.017748343864573288,0.9639934168305601
2018-09-19,-30.80397,-16.724633333333333,-0.07803587895813742,-0.06058767468734851,0.011334630640761872,0.013081608972484867,-0.0976223580498219,-0.05608097485659491,-0.04154138319322699,-0.017448204270788907,0.9640961094993598
2018-09-20,-31.304165,-16.645266666666668,-0.07936020272270684,-0.060343084241692574,-0.0007207318629091417,-0.0007116531927820131,-0.10616837067105755,-0.07686204113040936,-0.0293063295406482,-0.01901711848101427,0.9640256507805296
2018-09-21,-31.0014725,-16.378499166666668,-0.07741956650390114,-0.05762874061101446,0.015041019158008373,0.029868491139865755,-0.11218838246519322,-0.08862323208158562,-0.023565150383607597,-0.01979082589288668,0.9637321634871863
2018-09-25,-30.604693333333334,-16.0458775,-0.07663065932719293,-0.05697091100807227,-0.002639032377741942,-0.009036877438513951,-0.11698278304138467,-0.11559007642797686,-0.0013927066134078042,-0.019659748319120658,0.963458061996423
2018-09-26,-30.432374166666666,-15.930558333333334,-0.07583399150258742,-0.05594182067271633,0.004804227495474531,0.011015779730180341,-0.12592224334938726,-0.11346154797886197,-0.012460695370525285,-0.01989217082987109,0.9633317018203742
2018-09-27,-30.0081575,-15.718289166666667,-0.07572430957835276,-0.05541779677236113,-0.012590330638201315,-0.004002772455734116,-0.13478321506972007,-0.1295439622504686,-0.005239252819251472,-0.020306512805991626,0.9634177226903804
2018-09-28,-29.478819166666668,-15.576086666666667,-0.07368586148182046,-0.05435312099640785,0.009491047122781721,0.010310630317834349,-0.1334563075627922,-0.12938831214841567,-0.004067995414376524,-0.019332740485412614,0.9636451802121239
2018-10-08,-29.2784075,-15.582135833333334,-0.07561421002063728,-0.05681901552244633,-0.03265499890925608,-0.04398072704604592,-0.14132270526530064,-0.132984247956859,-0.008338457308441627,-0.018795194498190955,0.9638979053720683
2018-10-09,-29.099085,-15.5483625,-0.07533916148544414,-0.056733932343772324,-0.0024994122728093744,-0.0006712273209352538,-0.11736164796658662,-0.10275524303036854,-0.014606404936218079,-0.01860522914167182,0.9642530133870073
2018-10-10,-28.783694166666667,-15.434715833333334,-0.07460317666020279,-0.05644097823322529,-0.001080694765050663,-0.0021590537046332764,-0.11950754394821714,-0.10366571524153367,-0.015841828706683464,-0.0181621984269775,0.964718926817622
2018-10-11,-29.050645,-15.4894625,-0.08093189780761612,-0.059496406325006274,-0.0721933102285776,-0.04917974695117834,-0.094861293436866,-0.07783104829576282,-0.017030245141103184,-0.021435491482609842,0.9648968197339634
2018-10-12,-28.945895,-15.401655833333335,-0.08119398640773254,-0.058289444859666535,-0.006845440570228226,0.0148099558467938,-0.0044434620151075944,-0.02259927495946959,0.018155812944361995,-0.022904541548066003,0.9648246748576763
2018-10-15,-29.0950375,-15.353409166666667,-0.08314544227631418,-0.05892971763900008,-0.0186109762317208,-0.014061959490625714,-0.00017266425238265546,-0.03957229063688138,0.039399626384498725,-0.0242157246373141,0.9647625536324226
