trade_date,product_id,instrument_id,total_return_final,total_return_unclose,total_fee,unclosed_value,precision,long_open,short_open,correct_long_open,wrong_long_open,correct_short_open,wrong_short_open,average_holding_time,max_holding_time,min_holding_time,max_margin,max_risk_ratio
2021-02-01,RB,rb2105,578.6999999999999,578.6999999999999,42.599999999999994,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,13440.0,13440.0,13440.0,42700.0,0.4438354438354438
2021-02-02,RB,rb2105,-41.90000000000009,-41.90000000000009,83.79999999999998,0.0,0.5,0.0,2.0,0.0,0.0,1.0,1.0,570.0,720.0,420.0,42480.0,0.44226044226044225
2021-02-03,RB,rb2105,529.0999999999999,529.0999999999999,41.8,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2100.0,2100.0,2100.0,41840.0,0.43795543795543795
2021-02-04,RB,rb2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,41650.0,0.0
2021-02-05,RB,rb2105,528.65,528.65,42.699999999999996,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12900.0,12900.0,12900.0,42800.0,0.4494004494004494
2021-02-08,RB,rb2105,335.04999999999995,678.3499999999999,86.6,21380.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,3135.0,4500.0,1770.0,43420.0,0.4559104559104559
2021-02-09,RB,rb2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,43200.0,0.0
2021-02-10,RB,rb2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,43700.0,0.0
2021-02-18,RB,rb2105,577.4,577.4,45.199999999999996,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1140.0,1140.0,1140.0,45310.0,0.4757554757554758
2021-02-19,RB,rb2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,45110.0,0.0
2021-02-22,RB,rb2105,577.05,577.05,45.9,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1560.0,1560.0,1560.0,45320.0,0.4732354732354732
2021-02-23,RB,rb2105,-972.95,-972.95,45.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5280.0,5280.0,5280.0,46050.0,0.4835254835254835
2021-02-24,RB,rb2105,-145.80000000000007,-145.80000000000007,91.6,0.0,0.5,0.0,2.0,0.0,0.0,1.0,1.0,930.0,1230.0,630.0,45960.0,0.4825804825804826
2021-02-25,RB,rb2105,-96.80000000000018,-96.80000000000018,93.6,0.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,435.0,660.0,210.0,47250.0,0.4961254961254961
2021-02-26,RB,rb2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,46730.0,0.0
2021-02-01,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,41712.0,0.0
2021-02-02,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,41700.0,0.0
2021-02-03,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,41364.0,0.0
2021-02-04,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,47390.0,0.0
2021-02-05,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,41364.0,0.0
2021-02-08,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,41988.0,0.0
2021-02-09,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,41844.0,0.0
2021-02-10,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,41976.0,0.0
2021-02-18,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,41832.0,0.0
2021-02-19,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,41856.0,0.0
2021-02-22,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,41628.0,0.0
2021-02-23,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,42000.0,0.0
2021-02-24,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,42324.0,0.0
2021-02-25,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,43032.0,0.0
2021-02-26,M,m2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,43224.0,0.0
2021-02-01,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-02,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-03,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-04,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-05,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-08,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-09,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-10,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-18,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-19,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-22,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-23,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-24,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-25,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-26,AU,au2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
2021-02-01,AG,ag2106,-241.74,-241.74,3.48,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,240.0,240.0,240.0,35232.0,0.3699363699363699
2021-02-02,AG,ag2106,-331.8,-331.8,3.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,120.0,120.0,120.0,36108.0,0.37913437913437914
2021-02-03,AG,ag2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,35700.0,0.0
2021-02-04,AG,ag2106,-290.04,-290.04,10.08,0.0,0.3333333333333333,2.0,1.0,0.0,2.0,1.0,0.0,260.0,360.0,120.0,33732.0,0.3536193536193536
2021-02-05,AG,ag2106,-241.66,-241.66,3.32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,270.0,270.0,270.0,33384.0,0.34788634788634787
2021-02-08,AG,ag2106,-241.68,-241.68,3.36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,450.0,450.0,450.0,33450.0,0.3512253512253512
2021-02-09,AG,ag2106,208.28,208.28,3.44,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,90.0,90.0,90.0,33852.0,0.35544635544635544
2021-02-10,AG,ag2106,-301.7,-301.7,3.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,480.0,480.0,480.0,33870.0,0.35563535563535564
2021-02-18,AG,ag2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,33624.0,0.0
2021-02-19,AG,ag2106,148.3,148.3,3.4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,210.0,210.0,210.0,33708.0,0.3539343539343539
2021-02-22,AG,ag2106,418.26,418.26,3.48,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,810.0,810.0,810.0,34428.0,0.3614943614943615
2021-02-23,AG,ag2106,-331.76,-331.76,3.52,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,60.0,60.0,60.0,35022.0,0.3677313677313677
2021-02-24,AG,ag2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,34872.0,0.0
2021-02-25,AG,ag2106,1282.96,1282.96,14.08,0.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,5475.0,21660.0,60.0,35064.0,0.36817236817236815
2021-02-26,AG,ag2106,144.77999999999997,144.77999999999997,10.44,0.0,0.6666666666666666,1.0,2.0,1.0,0.0,1.0,1.0,70.0,120.0,30.0,34662.0,0.35626535626535627
2021-02-01,NI,ni2104,-199.02999999999997,-199.02999999999997,18.06,0.0,0.3333333333333333,2.0,1.0,1.0,1.0,0.0,1.0,150.0,330.0,30.0,26562.0,0.2789012789012789
2021-02-02,NI,ni2104,86.99,86.99,6.02,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,240.0,240.0,240.0,26434.0,0.27535227535227536
2021-02-03,NI,ni2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,26388.0,0.0
2021-02-04,NI,ni2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,26058.0,0.0
2021-02-05,NI,ni2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,26018.0,0.0
2021-02-08,NI,ni2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,26268.0,0.0
2021-02-09,NI,ni2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,26658.0,0.0
2021-02-10,NI,ni2104,-203.01,-203.01,6.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,360.0,360.0,360.0,26982.0,0.2833112833112833
2021-02-18,NI,ni2104,96.99,96.99,6.02,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,390.0,390.0,390.0,27700.0,0.29085029085029085
