,basis_ic_mean,basis_if_mean,basis_ic_pct_annual,basis_if_pct_annual,index_return_ic,index_return_if,icf_index_return_diff_win,icf_basis_annual_diff,icf_corr_win
basis_ic_mean,1.0,0.9327249677022464,0.9838870581438663,0.9276512277307406,0.048669358074787165,0.052759157491500584,-0.0913332088651734,0.7153593220244305,-0.10468959261207632
basis_if_mean,0.9327249677022464,1.0,0.9247900664755563,0.9887922655260796,0.008060698099340494,0.02007609095360472,-0.13186756817465503,0.4484454530439492,-0.10482797491509732
basis_ic_pct_annual,0.9838870581438663,0.9247900664755563,1.0,0.9362993663536194,0.06102400929794466,0.056106125105954426,-0.1152115331506302,0.7396149661484961,-0.10547628340154089
basis_if_pct_annual,0.9276512277307406,0.9887922655260796,0.9362993663536194,1.0,0.02428749990356578,0.031013918557136543,-0.10915652636288582,0.4561308338462851,-0.10847181473494463
index_return_ic,0.048669358074787165,0.008060698099340494,0.06102400929794466,0.02428749990356578,1.0,0.8608128166844445,0.16676099630801267,0.10808514874275345,0.008781711610124513
index_return_if,0.052759157491500584,0.02007609095360472,0.056106125105954426,0.031013918557136543,0.8608128166844445,1.0,0.07337310224200386,0.08273350677933153,0.019548226789486065
icf_index_return_diff_win,-0.0913332088651734,-0.13186756817465503,-0.1152115331506302,-0.10915652636288582,0.16676099630801267,0.07337310224200386,1.0,-0.08275149328793985,-0.09267399130891903
icf_basis_annual_diff,0.7153593220244305,0.4484454530439492,0.7396149661484961,0.4561308338462851,0.10808514874275345,0.08273350677933153,-0.08275149328793985,1.0,-0.05939550626613407
icf_corr_win,-0.10468959261207632,-0.10482797491509732,-0.10547628340154089,-0.10847181473494463,0.008781711610124513,0.019548226789486065,-0.09267399130891903,-0.05939550626613407,1.0
