,basis_ic_mean,basis_if_mean,basis_ic_pct_annual,basis_if_pct_annual,index_return_ic,index_return_if,icf_index_return_diff_win,icf_basis_annual_diff,icf_corr_win
basis_ic_mean,1.0,0.9247741333890261,0.9866558609128395,0.9218751777588109,-0.001950327578018743,0.004767985189318717,-0.10779581269380857,0.7909068011265101,0.06860614816317352
basis_if_mean,0.9247741333890261,1.0,0.906825652081219,0.9728445367716221,0.00605923673844424,0.003148303144447201,0.036139996325432765,0.5364822634737885,-0.03559589577211849
basis_ic_pct_annual,0.9866558609128395,0.906825652081219,1.0,0.9246432105984385,0.010493515164613824,0.014158654329510897,-0.13466401503341552,0.8163153257275898,0.022812197252913967
basis_if_pct_annual,0.9218751777588109,0.9728445367716221,0.9246432105984385,1.0,0.015872327130832142,0.013698387150238663,0.03899357621056909,0.5348279217104035,-0.1652056496577112
index_return_ic,-0.001950327578018743,0.00605923673844424,0.010493515164613824,0.015872327130832142,1.0,0.8427486943404756,0.09192533514841028,-0.0007912846574368416,-0.004597247589478912
index_return_if,0.004767985189318717,0.003148303144447201,0.014158654329510897,0.013698387150238663,0.8427486943404756,1.0,0.010373041359850002,0.01063777786259532,0.014467912303088335
icf_index_return_diff_win,-0.10779581269380857,0.036139996325432765,-0.13466401503341552,0.03899357621056909,0.09192533514841028,0.010373041359850002,1.0,-0.3579212936975614,-0.3399832418603294
icf_basis_annual_diff,0.7909068011265101,0.5364822634737885,0.8163153257275898,0.5348279217104035,-0.0007912846574368416,0.01063777786259532,-0.3579212936975614,1.0,0.3011787807900035
icf_corr_win,0.06860614816317352,-0.03559589577211849,0.022812197252913967,-0.1652056496577112,-0.004597247589478912,0.014467912303088335,-0.3399832418603294,0.3011787807900035,1.0
