idx,instrument_id,direction,last_price,filled_price,filled_vol,open_price,fee,open_ts,close_ts,holding_time,return,trade_date,open_cost,return_ratio,return_cut
2435,rb2110,10,5180.0,5179.0,2.0,5179.0,10.0,21:20:17.500,21:20:17.500,0.0,0.0,2021-07-01,10358.0,0.0,"(-0.405, 81.097]"
6637,rb2110,11,5156.0,5157.0,2.0,5179.0,10.0,21:20:17.500,2021-06-30 21:55:20.500,2103.0,420.0,2021-07-01,10358.0,405.48368410890134,"(324.387, 405.484]"
1683,rb2110,00,5238.0,5239.0,2.0,5239.0,10.0,21:14:01.500,21:14:01.500,0.0,0.0,2021-07-06,10478.0,0.0,"(-0.405, 81.097]"
10703,rb2110,01,5260.0,5259.0,2.0,5239.0,10.0,21:14:01.500,22:29:20.000,4519.0,380.0,2021-07-06,10478.0,362.6646306547051,"(324.387, 405.484]"
34613,rb2110,00,5413.0,5414.0,2.0,5414.0,10.0,14:03:35.000,14:03:35.000,0.0,0.0,2021-07-07,10828.0,0.0,"(-0.405, 81.097]"
40383,rb2110,01,5435.0,5435.0,2.0,5414.0,10.0,14:03:35.000,14:51:40.000,2885.0,400.0,2021-07-07,10828.0,369.4126339120798,"(324.387, 405.484]"
6743,rb2110,00,5483.0,5483.0,2.0,5483.0,10.0,21:56:11.500,21:56:11.500,0.0,0.0,2021-07-12,10966.0,0.0,"(-0.405, 81.097]"
9561,rb2110,01,5505.0,5505.0,2.0,5483.0,10.0,21:56:11.500,22:19:40.500,1409.0,420.0,2021-07-12,10966.0,383.00200620098485,"(324.387, 405.484]"
623,rb2110,00,5455.0,5455.0,2.0,5455.0,10.0,21:05:11.500,21:05:11.500,0.0,0.0,2021-07-14,10910.0,0.0,"(-0.405, 81.097]"
4721,rb2110,01,5476.0,5476.0,2.0,5455.0,10.0,21:05:11.500,21:39:20.500,2049.0,400.0,2021-07-14,10910.0,366.6361136571952,"(324.387, 405.484]"
