idx,instrument_id,direction,last_price,filled_price,filled_vol,open_price,fee,open_ts,close_ts,holding_time,return,trade_date,open_cost,return_ratio,return_cut
623,m2109,00,3483.0,3483.0,2.0,3483.0,4.0,21:05:11.049,21:05:11.049,0.0,0.0,2021-07-01,6966.0,0.0,"(-43.136, 436.787]"
4246,m2109,01,3473.0,3473.0,2.0,3483.0,4.0,21:05:11.049,21:36:40.131,1889.0,-208.0,2021-07-01,6966.0,-298.5931668102211,"(-523.059, -43.136]"
601,m2109,10,3679.0,3679.0,2.0,3679.0,4.0,21:05:00.187,21:05:00.187,0.0,0.0,2021-07-02,7358.0,0.0,"(-43.136, 436.787]"
39585,m2109,11,3694.0,3695.0,2.0,3679.0,4.0,2021-07-01 21:05:00.187,2021-07-02 15:11:04.655,65164.0,-328.0,2021-07-02,7358.0,-445.77330796412065,"(-523.059, -43.136]"
649,m2109,00,3688.0,3689.0,2.0,3689.0,4.0,21:05:24.521,21:05:24.521,0.0,0.0,2021-07-05,7378.0,0.0,"(-43.136, 436.787]"
38772,m2109,01,3655.0,3654.0,2.0,3689.0,4.0,2021-07-02 21:05:24.521,2021-07-05 15:10:35.953,65111.0,-740.0,2021-07-05,7378.0,-1002.981837896449,"(-1005.381, -523.059]"
837,m2109,10,3624.0,3623.0,2.0,3623.0,4.0,21:06:58.483,21:06:58.483,0.0,0.0,2021-07-07,7246.0,0.0,"(-43.136, 436.787]"
39246,m2109,11,3571.0,3572.0,2.0,3623.0,4.0,2021-07-06 21:06:58.483,2021-07-07 15:39:53.404,66775.0,1012.0,2021-07-07,7246.0,1396.6326248964947,"(916.71, 1396.633]"
616,m2109,00,3565.0,3566.0,2.0,3566.0,4.0,21:05:07.540,21:05:07.540,0.0,0.0,2021-07-08,7132.0,0.0,"(-43.136, 436.787]"
38038,m2109,01,3584.0,3583.0,2.0,3566.0,4.0,2021-07-07 21:05:07.540,2021-07-08 15:10:43.389,65136.0,300.0,2021-07-08,7132.0,420.6393718452047,"(-43.136, 436.787]"
673,m2109,00,3558.0,3559.0,2.0,3559.0,4.0,21:05:36.363,21:05:36.363,0.0,0.0,2021-07-09,7118.0,0.0,"(-43.136, 436.787]"
38305,m2109,01,3580.0,3579.0,2.0,3559.0,4.0,2021-07-08 21:05:36.363,2021-07-09 15:10:19.799,65083.0,360.0,2021-07-09,7118.0,505.76004495644844,"(436.787, 916.71]"
