idx,instrument_id,direction,last_price,filled_price,filled_vol,open_price,fee,open_ts,close_ts,holding_time,return,trade_date,open_cost,return_ratio,return_cut
370,m2109,00,3623.0,3624.0,4,3624.0,10.0,21:03:04.980,21:03:04.980,0.0,0.0,2021-07-07,14496.0,0.0,"(-16.05, 238.63]"
4931,m2109,01,3587.0,3587.0,4,3624.0,10.0,21:03:04.980,21:41:20.964,2296.0,-1500.0,2021-07-07,14496.0,-1034.76821192053,"(-1036.042, -780.089]"
5504,m2109,00,3585.0,3586.0,4,3586.0,10.0,21:46:07.932,21:46:07.932,0.0,0.0,2021-07-07,14344.0,0.0,"(-16.05, 238.63]"
39246,m2109,01,3570.0,3569.0,4,3586.0,10.0,2021-07-06 21:46:07.932,2021-07-07 14:59:29.625,62002.0,-730.0,2021-07-07,14344.0,-508.9235917456776,"(-525.409, -270.729]"
734,m2109,10,3566.0,3565.0,4,3565.0,10.0,21:06:06.541,21:06:06.541,0.0,0.0,2021-07-08,14260.0,0.0,"(-16.05, 238.63]"
34278,m2109,11,3582.0,3583.0,4,3565.0,10.0,21:06:06.541,2021-07-08 14:28:10.025,62524.0,-740.0,2021-07-08,14260.0,-518.9340813464236,"(-525.409, -270.729]"
34649,m2109,00,3585.0,3586.0,4,3586.0,10.0,14:31:16.609,14:31:16.609,0.0,0.0,2021-07-08,14344.0,0.0,"(-16.05, 238.63]"
38038,m2109,01,3582.0,3581.0,4,3586.0,10.0,2021-07-08 14:31:16.609,2021-07-08 14:59:29.608,1693.0,-250.0,2021-07-08,14344.0,-174.28890128276632,"(-270.729, -16.05]"
55,m2109,00,3561.0,3562.0,4,3562.0,10.0,21:00:27.369,21:00:27.369,0.0,0.0,2021-07-09,14248.0,0.0,"(-16.05, 238.63]"
2916,m2109,01,3572.0,3571.0,4,3562.0,10.0,21:00:27.369,21:24:25.869,1438.0,340.0,2021-07-09,14248.0,238.6299831555306,"(-16.05, 238.63]"
4090,m2109,10,3580.0,3579.0,4,3579.0,10.0,21:34:36.856,21:34:36.856,0.0,0.0,2021-07-09,14316.0,0.0,"(-16.05, 238.63]"
7736,m2109,11,3593.0,3594.0,4,3579.0,10.0,21:34:36.856,2021-07-08 22:05:10.379,1834.0,-620.0,2021-07-09,14316.0,-433.08186644314054,"(-525.409, -270.729]"
8146,m2109,00,3590.0,3591.0,4,3591.0,10.0,22:08:39.870,22:08:39.870,0.0,0.0,2021-07-09,14364.0,0.0,"(-16.05, 238.63]"
29022,m2109,01,3598.0,3597.0,4,3591.0,10.0,22:08:39.870,13:36:21.400,55662.0,220.0,2021-07-09,14364.0,153.16067947646894,"(-16.05, 238.63]"
30484,m2109,10,3594.0,3593.0,4,3593.0,10.0,13:49:12.464,13:49:12.464,0.0,0.0,2021-07-09,14372.0,0.0,"(-16.05, 238.63]"
37246,m2109,11,3586.0,3587.0,4,3593.0,10.0,13:49:12.464,2021-07-09 14:51:06.966,3714.0,220.0,2021-07-09,14372.0,153.07542443640412,"(-16.05, 238.63]"
37520,m2109,10,3585.0,3584.0,4,3584.0,10.0,14:53:26.958,14:53:26.958,0.0,0.0,2021-07-09,14336.0,0.0,"(-16.05, 238.63]"
38305,m2109,11,3582.0,3583.0,4,3584.0,10.0,2021-07-09 14:53:26.958,2021-07-09 14:59:29.938,363.0,20.0,2021-07-09,14336.0,13.950892857142858,"(-16.05, 238.63]"
