,basis_ic_mean,basis_if_mean,basis_ic_pct_annual,basis_if_pct_annual,index_return_ic,index_return_if,icf_index_return_diff_win,icf_basis_annual_diff,icf_corr_win
basis_ic_mean,1.0,0.9350619369629981,0.983959324002657,0.9286974607485711,0.049406139144858766,0.05466445827862708,-0.09772059061192871,0.7173074184832576,-0.10232695983100902
basis_if_mean,0.9350619369629981,1.0,0.9278749464583305,0.989779958173049,0.008916388655459854,0.020245963595631085,-0.06349457593268436,0.4564648154772278,-0.10929924033723577
basis_ic_pct_annual,0.983959324002657,0.9278749464583305,1.0,0.937508773696548,0.061674158389703165,0.058289318058142976,-0.1388932596746105,0.7412097260703657,-0.10242537165744751
basis_if_pct_annual,0.9286974607485711,0.989779958173049,0.937508773696548,1.0,0.024607318416661972,0.03186164956123972,-0.06640108005933158,0.4613131891100285,-0.11078371911915667
index_return_ic,0.049406139144858766,0.008916388655459854,0.061674158389703165,0.024607318416661972,1.0,0.8631491619680003,0.09891777619150376,0.10978617365552104,0.009591554697900982
index_return_if,0.05466445827862708,0.020245963595631085,0.058289318058142976,0.03186164956123972,0.8631491619680003,1.0,0.04540217941515222,0.08716069874373295,0.0198777179275108
icf_index_return_diff_win,-0.09772059061192871,-0.06349457593268436,-0.1388932596746105,-0.06640108005933158,0.09891777619150376,0.04540217941515222,1.0,-0.22605366496950124,-0.15050662714317156
icf_basis_annual_diff,0.7173074184832576,0.4564648154772278,0.7412097260703657,0.4613131891100285,0.10978617365552104,0.08716069874373295,-0.22605366496950124,1.0,-0.047446148734087146
icf_corr_win,-0.10232695983100902,-0.10929924033723577,-0.10242537165744751,-0.11078371911915667,0.009591554697900982,0.0198777179275108,-0.15050662714317156,-0.047446148734087146,1.0
