,basis_ic_mean,basis_if_mean,basis_ic_pct_annual,basis_if_pct_annual,index_return_ic,index_return_if,icf_index_return_diff_win,icf_basis_annual_diff,icf_corr_win
basis_ic_mean,1.0,0.9590506919516261,0.9851537459154922,0.9649384779739723,-0.003611004397772434,0.005356424515611493,-0.029943570455555554,0.6621347331795631,-0.011188737024469554
basis_if_mean,0.9590506919516261,1.0,0.92616117692578,0.9882783004411613,-0.010237875597448032,-0.004256407174763649,0.006410094624900762,0.44880401810653336,-0.010695142683427824
basis_ic_pct_annual,0.9851537459154922,0.92616117692578,1.0,0.9489446758584454,0.011890829905251999,0.015543413890474311,-0.045336291550030036,0.7374890797721633,-0.00700002224480079
basis_if_pct_annual,0.9649384779739723,0.9882783004411613,0.9489446758584454,1.0,0.0028834000099533007,0.006697246731779019,0.01277207843658899,0.486799352537813,-0.029754461928903405
index_return_ic,-0.003611004397772434,-0.010237875597448032,0.011890829905251999,0.0028834000099533007,1.0,0.859270551666155,0.14774515528633397,0.02675439291293572,-0.03168063728156767
index_return_if,0.005356424515611493,-0.004256407174763649,0.015543413890474311,0.006697246731779019,0.859270551666155,1.0,0.028673469182011333,0.028703612046402358,-0.04130658426552839
icf_index_return_diff_win,-0.029943570455555554,0.006410094624900762,-0.045336291550030036,0.01277207843658899,0.14774515528633397,0.028673469182011333,1.0,-0.15288874641996938,0.007675512826869562
icf_basis_annual_diff,0.6621347331795631,0.44880401810653336,0.7374890797721633,0.486799352537813,0.02675439291293572,0.028703612046402358,-0.15288874641996938,1.0,0.04431973186620649
icf_corr_win,-0.011188737024469554,-0.010695142683427824,-0.00700002224480079,-0.029754461928903405,-0.03168063728156767,-0.04130658426552839,0.007675512826869562,0.04431973186620649,1.0
