,basis_ic_mean,basis_if_mean,basis_ic_pct_annual,basis_if_pct_annual,index_return_ic,index_return_if,icf_index_return_diff_win,icf_basis_annual_diff,icf_corr_win
basis_ic_mean,1.0,0.9244166918499651,0.9860931460693004,0.9209585539168742,-0.0025518258122956155,0.005757798912849043,-0.05822477448453183,0.7905584480632938,0.07636706182120213
basis_if_mean,0.9244166918499651,1.0,0.9048168564644687,0.9704394775953856,0.005043396204137939,0.004715467815742618,0.023758333739497074,0.535401391375782,-0.018069973756483493
basis_ic_pct_annual,0.9860931460693004,0.9048168564644687,1.0,0.9244263316269395,0.010251741748804232,0.01447684026198439,-0.06829586521169047,0.8161337506310999,0.026058666903803044
basis_if_pct_annual,0.9209585539168742,0.9704394775953856,0.9244263316269395,1.0,0.01564515428176166,0.014052667408619966,0.03901025560134537,0.5340812928887997,-0.1572982759847155
index_return_ic,-0.0025518258122956155,0.005043396204137939,0.010251741748804232,0.01564515428176166,1.0,0.8410416065052494,0.13018971570895865,-0.0009796354774527724,-0.006182142901262345
index_return_if,0.005757798912849043,0.004715467815742618,0.01447684026198439,0.014052667408619966,0.8410416065052494,1.0,-0.004998257631589869,0.010799968369582124,0.017003870632515836
icf_index_return_diff_win,-0.05822477448453183,0.023758333739497074,-0.06829586521169047,0.03901025560134537,0.13018971570895865,-0.004998257631589869,1.0,-0.21051508263367438,-0.21737687532984085
icf_basis_annual_diff,0.7905584480632938,0.535401391375782,0.8161337506310999,0.5340812928887997,-0.0009796354774527724,0.010799968369582124,-0.21051508263367438,1.0,0.29611790474378535
icf_corr_win,0.07636706182120213,-0.018069973756483493,0.026058666903803044,-0.1572982759847155,-0.006182142901262345,0.017003870632515836,-0.21737687532984085,0.29611790474378535,1.0
